CIty_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
71,Chuy,-33.6971,-53.4616,57.16,92,97,6.49,UY,Clouds
72,Bonthe,7.5264,-12.505,76.8,81,98,8.81,SL,Rain
73,Upernavik,72.7868,-56.1549,46.31,95,99,17.72,GL,Clouds
74,Tongchuan,35.0806,109.0897,64.92,90,2,4.76,CN,Clear
75,Makinsk,52.6292,70.4169,59.22,60,99,2.28,KZ,Clouds
76,Monrovia,6.3005,-10.7969,76.77,74,97,7.36,LR,Clouds
77,Hilo,19.7297,-155.09,80.8,77,77,1.99,US,Clouds
78,Salalah,17.0151,54.0924,75.58,94,96,6.29,OM,Clouds
79,Egvekinot,66.3167,-179.1667,46.81,82,98,3.22,RU,Clouds
80,Rio Grande,-32.035,-52.0986,66.31,88,97,8.28,BR,Clouds
81,San Patricio,28.017,-97.5169,93.06,50,94,10.98,US,Clouds
82,Katsuura,35.1333,140.3,78.82,93,100,18.28,JP,Clouds
83,Marrakesh,31.6315,-8.0083,105.87,11,40,9.22,MA,Clouds
84,Pangai,-19.8,-174.35,72.19,54,14,16.42,TO,Clouds
85,Vaini,-21.2,-175.2,68.58,60,69,18.1,TO,Clouds
86,Raudeberg,61.9875,5.1352,57.87,87,96,4.94,NO,Clouds
87,Stepnyak,52.8339,70.7803,59.95,61,99,2.8,KZ,Clouds
88,Coahuayana,18.7333,-103.6833,90.21,61,100,7.05,MX,Clouds
89,Vardo,70.3705,31.1107,49.48,83,100,2.35,NO,Clouds
90,Kamaishi,39.2667,141.8833,65.55,93,100,11.95,JP,Clouds
91,Puerto Ayora,-0.7393,-90.3518,71.98,76,56,9.55,EC,Clouds
92,Taoudenni,22.6783,-3.9836,107.6,8,73,8.52,ML,Clouds
93,Tokur,53.1333,132.9,50.32,90,18,1.95,RU,Clouds
94,Kitaibaraki,36.7833,140.75,66.9,97,100,14.74,JP,Rain
95,Ostrovnoy,68.0531,39.5131,44.83,89,7,1.5,RU,Clear
96,East London,-33.0153,27.9116,58.69,71,100,8.75,ZA,Clouds
97,Klaksvik,62.2266,-6.589,50.92,94,100,10.45,FO,Clouds
98,Kodiak,57.79,-152.4072,54.43,61,11,6.08,US,Clouds
99,Marmande,44.5,0.1667,86.31,80,0,11.88,FR,Clear
100,Saint-Philippe,-21.3585,55.7679,69.39,81,95,15.95,RE,Rain
101,Eyl,7.9803,49.8164,78.51,73,11,28.3,SO,Clouds
102,Belle Fourche,44.6714,-103.8522,95.65,22,8,7.4,US,Clear
103,High Level,58.5169,-117.136,71.53,39,100,11.3,CA,Clouds
104,Guerrero Negro,27.9769,-114.0611,82.83,54,25,16.55,MX,Clouds
105,Auki,-8.7676,160.7034,76.37,89,24,4.47,SB,Clouds
106,Illescas,40.1221,-3.847,98.2,13,78,6.4,ES,Clouds
107,Tanout,14.9709,8.8879,89.83,38,10,8.34,NE,Clear
108,Ipixuna,-1.7625,-48.8043,78.28,85,88,5.93,BR,Clouds
109,Qaqortoq,60.7167,-46.0333,52.3,96,100,2.04,GL,Rain
110,Krasnoselkup,65.7,82.4667,55.18,90,95,11.07,RU,Clouds
111,Cherskiy,68.75,161.3,43.92,78,100,11.86,RU,Clouds
112,Souillac,-20.5167,57.5167,70.36,88,75,16.11,MU,Rain
113,Coquimbo,-29.9533,-71.3436,55.85,77,98,6.89,CL,Clouds
