City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
456,Omboue,GA,76.3,Rain,-1.5746,9.2618,Hotel Olako
457,Muisne,EC,76.64,Clouds,0.6,-80.0333,Quinta Samay
458,Dingle,PH,75.2,Rain,10.9995,122.6711,SEGAYA PROPERTY
463,Quang Ngai,VN,79.03,Clouds,15.1167,108.8,Central Hotel
466,Pirgos,GR,78.48,Clear,35.1167,25.7178,Daios Cove
471,Bull Savanna,JM,81.75,Clouds,17.8868,-77.5902,Big Red's
473,Takoradi,GH,75.88,Clear,4.8845,-1.7554,Raybow International Hotel
476,Bubaque,GW,79.45,Clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
484,Matara,LK,78.64,Clouds,5.9485,80.5353,Amaloh Boutique Resort
487,Palera,IN,80.35,Clear,25.0167,79.2333,Gupta's house
497,Valle De Allende,MX,84.36,Clear,26.9333,-105.4,Hotel Meson de San Bartolome
501,Papetoai,PF,81.99,Rain,-17.4961,-149.8729,Fare Vaihere
506,Ugoofaaru,MV,81.99,Clouds,5.6667,73.0,Ungoofaaru Inn
511,Kollam,IN,78.67,Rain,8.8833,76.6,Nani Hotels and Resorts
512,Oranjestad,AW,84.15,Rain,12.524,-70.027,Divi Village Golf & Beach Resort
514,Praia Da Vitoria,PT,75.76,Clouds,38.7333,-27.0667,Hotel Branco I
517,Lokoja,NG,75.6,Rain,7.8024,6.743,Hotel Charvid
519,Mogadishu,SO,76.08,Clouds,2.0371,45.3438,Hotel Juba
520,Touros,BR,81.5,Clear,-5.1989,-35.4608,INN NEW HORIZON
522,Chiang Mai,TH,77.07,Rain,18.75,99.0,"Holiday Inn Chiangmai, an IHG Hotel"
525,Kroya,ID,76.87,Clouds,-7.6331,109.2461,RUSTANTO Fam
526,Santa Cruz De La Palma,ES,79.14,Clouds,28.6835,-17.7642,H10 Taburiente Playa
533,Gizo,SB,81.23,Clouds,-8.103,156.8419,Imagination Island
543,Taganak,PH,81.91,Clouds,6.0833,118.3,Taganak
544,Bandarbeyla,SO,77.04,Clouds,9.4942,50.8122,JABIR HOTEL
546,Kismayo,SO,76.24,Clouds,-0.3582,42.5454,Agan-Hotel
